Time,NoBlobs,Evolution_time,Circulation
0.02,469460,467.5348179129942,-1.9331998593849369
0.04,476524,273.3625926840032,-1.9331998529901622
0.06,484415,281.5006465299957,-1.933199859262524
0.08,493036,291.5256166129984,-1.9331998583760177
0.1,501444,300.9947370989976,-1.9331998590728572
0.12,509546,309.9914085719938,-1.9331998532836774
0.14,517604,320.26532164299715,-1.933199851518735
0.16,525584,330.5056550599984,-1.933199848390174
0.18,533309,340.8738541190032,-1.9331998520890532
0.2,540991,350.4983034199977,-1.9331998503737173
0.22,548452,360.0533997620005,-1.9331998488442832
0.24,555988,369.85384193700156,-1.9331998490762272
0.26,563172,380.5855461089959,-1.9331998484235453
0.28,569667,390.2439472900005,-1.9331998494944465
0.3,575920,398.77499186299974,-1.9331998483490676
0.32,581814,407.9638198390021,-1.9331998581727103
0.34,587610,416.41928700100107,-1.9331999928601764
0.36,593762,425.13751099499495,-1.9331999871716417
0.38,599627,434.4844504970024,-1.9331999927982297
0.4,605302,442.98769158699724,-1.9332000076382576
0.42,610945,450.998039266,-1.9332001419583174
0.44,616143,459.3802228019995,-1.9332001381221513
0.46,621472,466.58826723200036,-1.933199994284133
0.48,626360,475.39712866999616,-1.9332000336303736
0.5,630912,483.29842489399743,-1.9331999428181892
0.52,636007,489.4965422690002,-1.9331998879997245
0.54,640716,498.12878602099954,-1.9331998940463992
0.56,645277,506.1315981750013,-1.9331998948079163
0.58,650464,512.1452078290022,-1.9331993011680326
0.6,655097,520.4500348740039,-1.9331992893952814
0.62,659974,528.2420287429995,-1.9331991799364532
0.64,664917,536.3152943380046,-1.933199094151166
0.66,669275,544.0484190560019,-1.9331990100376168
0.68,673855,550.4756984339983,-1.9331990029603305
0.7000000000000001,678182,558.3107282440033,-1.9331990247898934
0.72,683141,566.3245198960067,-1.9331990168568776
0.74,687598,574.9448930349972,-1.9331990106895367
0.76,691950,580.7671619829998,-1.933199001571662
0.78,696598,589.899682133997,-1.93319899744657
0.8,701043,597.1747809630033,-1.9331989244085408
0.8200000000000001,705527,605.0996633640025,-1.933198819343983
0.84,709920,612.8481554210011,-1.933198797271375
